srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src__ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
0.0,57902,0.0,443,tcp,ACC,30.534532070159912,4847,603120,128,48,0,0,https,158.73830942825435,19752.06296314602,81,288,515,67,624299072,3685400035,59.839506172839506,2094.1666666666665,0,0,2.6397677330903173,1.5209396969094402,1777313844.375263,1777313874.909795,0.3816816508769989,0.10613674569213016,0.07330894470214844,30.53445601463318,0.07330894470214844,0,262,0,0,0,139,3,3,335,139,1,3
0.0,57621,0.0,57621,udp,INT,30.00712299346924,164,0,64,0,0,0,other,5.4653690070751875,0.0,2,0,0,0,0,0,82.0,0.0,0,0,0.0,0.0,1777313845.254427,1777313875.26155,30.00712299346924,0.0,0.0,0.0,0.0,1,15,0,0,0,1,19,19,1,1,11,1
0.0,57904,0.0,443,tcp,ACC,0.35329294204711914,4296,82094,128,52,0,0,https,12159.880622316641,232368.0725811132,25,50,517,147,1402056254,2042366475,171.84,1641.88,0,0,0.019972321669302774,0.01540872375228742,1777313845.520298,1777313845.873591,0.014720539251963297,0.006374368862229951,0.04096698760986328,0.3532090187072754,0.04096698760986328,0,262,0,0,0,139,1,1,335,139,1,1
0.0,57756,0.0,443,tcp,ACC,0.2575089931488037,2385,1020,128,55,0,0,https,9261.812454921945,3961.0267102810835,3,3,509,16,2376014000,2935232054,795.0,340.0,0,0,0.12875449657440186,0.11522245407104492,1777313845.69296,1777313845.950469,0.12875449657440186,0.11522245407104492,0.0,0.0,0.0,0,262,0,0,0,139,1,1,335,139,1,1
0.0,57640,0.0,5228,tcp,ACC,1e-06,55,0,128,0,0,0,other,55000000.0,0.0,1,0,512,0,964771636,0,55.0,0.0,0,0,0.0,0.0,1777313845.880422,1777313845.880422,0.0,0.0,0.0,0.0,0.0,0,262,0,0,0,2,1,1,335,1,1,1
0.0,57621,0.0,57621,udp,INT,2.9695169925689697,164,0,64,0,0,0,other,55.2278368537374,0.0,2,0,0,0,0,0,82.0,0.0,0,0,0.0,0.0,1777313846.177182,1777313849.146699,2.9695169925689697,0.0,0.0,0.0,0.0,1,15,0,0,0,1,5,5,1,1,3,1
0.0,57621,0.0,57621,udp,INT,1e-06,86,0,128,0,0,0,other,86000000.0,0.0,1,0,0,0,0,0,86.0,0.0,0,0,0.0,0.0,1777313847.508769,1777313847.508769,0.0,0.0,0.0,0.0,0.0,1,90,0,0,0,1,1,1,1,1,1,1
0.0,57838,0.0,443,tcp,ACC,0.1518869400024414,108,56,128,106,0,0,https,711.0552098703419,368.69529400684394,2,1,1021,16379,570014661,2266727571,54.0,56.0,0,0,0.0,0.0,1777313849.034337,1777313849.186224,0.1518869400024414,0.0,0.0,0.0,0.0,0,262,0,0,0,139,1,1,335,139,1,1
0.0,57836,0.0,443,tcp,ACC,0.2529869079589844,108,56,128,103,0,0,https,426.8995612117191,221.3553280357062,2,1,1022,16379,1435886692,734786471,54.0,56.0,0,0,0.0,0.0,1777313849.034702,1777313849.287689,0.2529869079589844,0.0,0.0,0.0,0.0,0,262,0,0,0,139,2,2,335,139,1,2
0.0,57837,0.0,443,tcp,ACC,0.2482151985168457,108,56,128,100,0,0,https,435.1063135751952,225.6106811130642,2,1,1022,16379,3758489151,2313507810,54.0,56.0,0,0,0.0,0.0,1777313849.034999,1777313849.283214,0.2482151985168457,0.0,0.0,0.0,0.0,0,262,0,0,0,139,2,2,335,139,1,2
